#British English to Estonian (no proper nouns)
aargh,aah
detente,pingelõdvendus
detention,kinnipidamine
deter,eemale peletama
detergent,puhastusvahend
deteriorate,halvenema
deteriorated,halvenenud
deteriorating,mandumine
deterioration,allakäik
determent,ärahirmutamine
determinable,määratletav
determinacy,ettemääratus
determinant,determinant
determinate,otsustav
determination,otsustavus
determinative,otsustav
determine,määrama
determined,otsusekindel
determinedly,otsustavalt
determinist,determinist
deterministic,deterministlik
deterrence,hirmutamine
deterrent,eemalepeletav
detersive,puhastav
detest,jälestama
detestable,jälestusväärne
detestably,jälestusväärselt
detestation,jälestus
detested,põlatud
dethrone,troonilt tõukama
dethronement,troonilt tõukamine
detonate,õhkama
detonation,õhkamine
detonative,plahvatav
detonator,sütik
detour,ümbersõit
detoxicate,mürgitustama
detoxification,mürgi eemaldamine
detoxify,mürgitustama
detract,kahandama
detraction,pisendamine
detractor,mahategija
detrain,rongilt maha tulema
detribalization,hõimueluviisi lagunemine
detriment,kahjustus
detrimental,kahjustav
detrimentally,kahjustavalt
detrition,kulumine
detritus,rusu
deuced,sindrima
deucedly,paganama
deuteragonist,kõrvaltegelane
deuteranopia,deuteranoopia
deuteranopic,värvipime
deuterium,deuteerium
deuterogamy,teine abielu
deuteron,deutron
dew,kaste
devaluate,devalveerima
devaluation,devalvatsioon
devalue,devalveerima
devalued,devalveeritud
devastate,laastama
devastated,laastatud
devastating,laastav
devastatingly,laastavalt
devastation,hävitustöö
dewberry,põldmari
dewdrop,kastepiisk
develop,arenema
developed,arenenud
developer,arendaja
developing,arenev
development,areng
deviance,hälve
deviant,hälbeline
deviate,hälbima
deviation,kõrvalekalle
deviationism,kallaklus
deviationist,kallaklane
device,seade
devil,kurat
devilfish,merikurat
devilish,kuratlik
devilishly,kuratlikult
devilize,metsikuks muutma
devilment,koerustükk
deviltry,õel vemp
devious,kaudne
deviously,kõverat teed mööda
devirginate,süütust võtma
devise,välja mõtlema
deviser,kavandaja
devitalization,närvutamine
devitalize,suretama
devitalizing,närvutav
devoid,täiesti ilma
devoir,kohus
devolution,õiguste üleandmine
devolve,delegeerima
devolvement,õiguste üleandmine
devote,pühendama
devoted,andunud
devotedly,andunult
devotedness,andumus
devotee,järgija
devotees,järgijad
devotion,andumus
devotional,vaga
devour,kugistama
devoured,neelatud
devourer,õgard
devouring,näriv
devout,siiras
devoutly,vagalt
dew-worm,vihmauss
dewworm,vihmauss
dewy,kastene
dexter,parempoolne
dexterity,käteosavus
dexterous,osav
dexterously,osavalt
dextral,paremakäeline
dextrality,paremakäelisus
dextrine,dekstriin
dextrorotatory,paremale pöörlev
dextrous,osav
dextrously,osavalt
dhoti,niudevöö
diabase,diabaas
diabatic,soojustjuhtiv
diabetes,suhkurtõbi
diabetic,diabeetik
diablerie,must maagia
diabolatry,saatanakummardamine
diabolic,saatanlik
diabolical,saatanlik
diabolically,saatanlikult
diacetylene,diatsetüleen
diachronic,diakrooniline
diachrony,diakroonia
diacritic,diakriitik
diacritical,diakriitiline
diadem,diadeem
diaeresis,dierees
diagenesis,diagenees
diaglyph,diaglüüf
diagnosable,diagnoositav
diagnose,diagnoosima
diagnosing,diagnoosimine
diagnosis,diagnoos
diagnostic,diagnostiline
diagnostics,diagnostika
diagonal,diagonaal
diagonally,diagonaalselt
diagram,skeem
diagrammatic,skemaatiline
diagrammatical,skemaatiline
diakinesis,diakinees
dial,numbrit valima
dialect,murre
dialectal,murdeline
dialectic,dialektika
dialectical,dialektiline
dialectically,dialektiliselt
dialectician,dialektik
dialectics,dialektikaõpetus
dialectism,dialektism
dialectological,dialektoloogiline
dialectologist,murdeuurija
dialectology,dialektoloogia
dialling,helistamine
dialog,dialoog
dialogue,dialoog
dial-plate,numbrisõrmistik
dialup,kommuteeritav
dialyse,dialüüsima
dialyze,dialüüsima
diam,läbimõõt
diameter,läbimõõt
diametric,diametraalne
diametrical,diametraalne
diametrically,diametraalselt
diamine,diamiin
diamond,teemant
diamondiferous,teemante sisaldav
diapason,diapasoon
diaper,mähe
diapers,mähkmed
diaphanously,vaevu varjavalt
diaphone,diafoon
diaphoresis,higi
diaphoretic,higistamist esile kutsuv
diaphoretical,higileajav
diaphragm,diafragma
diaphysis,luu keskosa
diapir,diapiir
diapositive,diapositiiv
diarch,diarh
diarchy,diarhia
diarist,päevikupidaja
diarrhea,kõhulahtisus
diarrheal,kõhulahtisuse
diarrhetic,kõhulahtisuse
diarrhoea,kõhulahtisus
diarrhoetic,kõhulahtisuse
diary,päevik
diastase,diastaas
diastem,diasteem
diastema,diasteem
diastematic,hambavahe
diastolic,diastoolne
diasyrm,naeruvääristav võrdlus
diatomic,kaheaatomiline
diatomite,diatomiit
diatonic,diatooniline
diatreme,diatreem
diatribe,sõnarünnak
diatryma,diatrüüma
dibber,istutuspulk
dibble,istutuspulk
dibbuk,dibuuk
dice,täring
dice-box,täringutoos
dicebox,täringutoos
dicecup,täringutoos
dicentra,murtudsüda
dicephalous,kahepäine
dicey,juhusest sõltuv
dichloride,dikloriid
dichotomisation,dihhotomiseerimine
dichotomise,dihhotomiseerima
dichotomization,dihhotomiseerimine
dichotomize,dihhotomiseerima
dichotomous,dihhotoomne
dichromatic,kahe värvi
dick,munn
dickens,kuramus
dicker,tingima
dickey,rinnarätik
dickeybird,linnuke
dickhead,türapea
dickie,rinnarätik
dicky,rinnarätik
dickybird,linnuke
dicotyledonous,kaheiduleheline
dictaphone,diktofon
dictate,dikteerima
dictated,ettekirjutatud
dictates,käsud
dictation,etteütlus
dictator,diktaator
dictatorial,diktaatorlik
dictatorially,diktaatorlikult
dictatorship,diktatuur
dictatress,naisdiktaator
diction,diktsioon
dictionaries,sõnaraamatud
dictionary,sõnaraamat
dictum,kaalukas arvamus
didactic,didaktiline
didactical,didaktiline
didactically,didaktiliselt
didacticism,didaktilisus
didactics,didaktika
diddle,näperdama
diddy,tola
dido,vemp
die,surema
die-cast,valatud
diegesis,jutustamine
diehard,vanameelne
die-hard,kangekaelne
diel,ööpäev
dielectric,dielektrik
die-line,poognate lõike abijoon
diemaker,valuvormide valmistaja
dieresis,dierees
diesel,diisel
diesel-driven,diiselmootoriga
dieselene,diislikütus
diesel-engined,diiselmootoriga
dieses,viitemärk
diesinker,vormivalmistaja
diet,dieet
dieter,dieedipidaja
dietetics,dietoloogia
dietician,dietoloog
dieting,dieedi pidamine
dietitian,dietoloog
differ,erinema
difference,erinevus
different,erinev
differentia,tunnusjoon
differentiable,eristatav
differentially,erinevalt
differentiate,eristama
differentiation,jagunemine
differentiator,vahetegija
differently,teistmoodi
difficile,pirtsakas
difficult,raske
difficulties,raskused
difficulty,raskus
diffidence,ebakindlus
diffident,ebakindel
diffidently,ebakindlalt
diffluence,ära voolamine
diffract,murduma
diffraction,difraktsioon
diffuse,laiali paiskuma
diffused,hajutatud
diffusedness,hajutatus
diffuser,hajuti
diffusible,hajutatav
diffusion,difusioon
diffusive,hajuv
diffusivity,difusioonitegur
dig,kaevama
digamist,uuestiabielluja
digamma,digamma
digamous,teist korda abiellunud
digamy,uuesti abiellumine
digerati,arvutiinimesed
digest,seedima
digested,seeduv
digester,kompostilava
digestibility,seeditavus
digestible,seeditav
digestibleness,seeditavus
digestif,digestiiv
digestion,seedimine
digger,kaevaja
digging,kaevamine
diggings,ajutised eluruumid
dighted,rüütatud
digitaizer,digilaud
digital,digitaalne
digitalize,digitaliseerima
digitally,digitaalselt
digitate,sõrmekujuline
digitigrade,varvastel kõndiv
digitization,digitaliseerimine
digitize,digitaliseerima
digitizer,digitaliseerija
digitizing,digitaliseerimine
dignified,väärikas
dignify,väärikust andma
dignifying,ülendav
dignitary,aukandja
dignity,väärikus
digram,digramm
digress,kõrvale kalduma
digression,kõrvalepõige
digressive,kõrvale kalduv
digs,ajutised eluruumid
dike,tamm
diktat,diktaat
dilapidate,hooletusse jätma
dilapidated,hooletusse jäetud
dilapidation,lagunemine
dilatation,laienemine
dilate,laienema
dilated,laienenud
dilation,laienemine
dilatoriness,venitamine
dilatory,venitav
dildo,dildo
dilemma,dilemma
dilemmatic,valikut nõudev
dilettante,diletant
dilettanteish,diletantlik
dilettanteism,diletantlus
dilettantish,diletantlik
diligence,usinus
diligent,hoolas
diligently,hoolsalt
dill,till
dilli,vahva sell
dilly-dally,edasi lükkama
dillydallying,aja raiskamine
dilutant,lahjendi
dilute,lahjendama
diluted,lahjendatud
diluting,lahjendamine
dilution,lahus
diluvium,diluuvium
dim,hämar
dime,kümnesendine
dimension,mõõde
dimensional,avar
dimensionality,ulatus
dimensions,mõõtmed
dim-eyed,kehva silmanägemisega
dimidiate,poolitatud
diminish,vähenema
diminished,vähendatud
diminishing,kahanev
diminishingly,kahanevalt
diminution,vähendamine
diminutive,tilluke
diminutiveness,imeväiksus
dimly,hämaralt
dimmed,hämardatud
dimmer,hämardi
dimness,hämarus
dimorphic,dimorfne
dimorphism,dimorfism
dimout,pimendus
dimple,lohk
dimpled,lohku surutud
dimples,põselohukesed
dim-sighted,kehva nägemisega
dimwit,tohman
dim-witted,juhm
dimwittedly,juhmilt
din,mürtsutamine
dinar,dinaar
dine,lõunastama
diner,einelaud
diner-out,restoranikülastaja
dinette,söögituba
ding,kill
ding-a-ling,kruvid peas lahti
dingbats,piltmärgid
dingdong,ihu ja hingega
ding-dong,kill-kõll
dinge,vormima
dinghy,julla
dingily,näruselt
dinginess,kaltsakus
dingle,kuru
dingo,dingo
dingoes,dingod
dingy,räpane
dining,lõunastamine
dinkum,sulatõsi
dinky,väike
dinner,õhtusöök
dinnertime,õhtusöögiaeg
dinoflagellate,vaguviburiline
dinosaur,dinosaurus
dint,mõlk
diocesan,piiskop
diocese,piiskopkond
dioctahedral,dioktaeedriline
diode,diood
dioecious,lahutatud sootunnustega
dioestrous,väljaspool innaaega
diopside,diopsiid
diopter,diopter
dioptre,diopter
dioptric,dioptriline
dioristic,eristav
dioxide,dioksiid
dioxin,dioksiin
dip,sisse kastma
diphthongization,diftongistumine
diplegia,mõlemapoolne halvatus
diplococci,diplokokid
diplodocus,diplodookus
diploid,diploidne
diploidy,diploidsus
diploma,diplom
diplomacy,diplomaatia
diplomaed,diplomeeritud
diplomat,diplomaat
diplomate,diplomeeritud
diplomatic,diplomaatiline
diplomatical,diplomaatiline
diplomatically,diplomaatlikult
diplomatics,ürikuteadus
diplomatist,riigi esindaja
diplopia,kahelinägemine
dipolar,kahepooluseline
dipole,dipool
dipped,lohkus
dipper,kulp
dipping,sissekastmine
dipsetic,janule ajav
dipso,tripsutaja
dipsomaniac,dipsomaan
dipstick,mõõtmisvarras
dipsy-doodle,põiklema
dipteran,kahetiivaline
dipteron,kahetiivaline
dipterous,kahetiivaline
direct,otsene
directable,suunatav
directed,suunatud
directing,suunav
direction,suund
directionality,suunatundlikkus
directionless,sihitu
directions,suunad
directive,direktiiv
directivity,suunatundlikkus
directly,otse
direct-mail,otsepostitus
directness,otsesus
director,direktor
directorate,direktoraat
directorship,juhatajaamet
directory,kataloog
directress,direktriss
direful,ängistav
direfully,ängistatult
dirge,leinaviis
dirigible,dirižaabel
diriment,tühistav
dirndl,kitsa vöökohaga maani kleit
dirt,mustus
dirt-cheap,roppodav
dirt-free,mustusevaba
dirtily,räpaselt
dirtiness,räpasus
dirty,räpane
dirtying,määrimine
dirty-minded,alatu meelega
dis,ülbitsema
disabilities,puuded
disability,võimetus
disable,blokeerima
disabled,võimetu
disablement,puue
disabling,sandistav
disaccord,erinema
disaccustom,võõrutama
disadvantage,halvem olukord
disadvantaged,ebasoodus
disadvantageous,ebasoodus
disadvantageously,ebasoodsalt
disaffect,ära pöörduma
disaffected,rahulolematu
disaffection,võõrandumus
disaffirm,tühistama
disafforest,metsast lagedaks tegema
disaggregation,komponentideks jaotamine
disagree,mitte nõustuma
disagreeable,ebameeldiv
disagreeableness,turtsakus
disagreeably,mittenõustuvalt
disagreement,lahkarvamus
disallow,keelama
disambiguate,ühemõtteliselt väljendama
disambiguation,ühestus
disanalogy,disanaloogia
disappear,kaduma
disappearance,kadumine
disappearing,kaduv
disappoint,pettumust valmistama
disappointed,pettunud
disappointedly,pettunult
disappointing,pettumust valmistav
disappointingly,pettumust valmistavalt
disappointment,pettumus
disapprobation,taunimine
disapprobative,pahakspanev
disapproval,hukkamõist
disapprove,mitte heaks kiitma
disapproved,taunitud
disapproving,pahakspanev
disapprovingly,pahakspanevalt
disarm,relvituks tegema
disarmament,desarmeerimine
disarmer,vägivalla vastane
disarming,relvitukstegev
disarmingly,relvitukstegevalt
disarrange,segi paiskama
disarranged,korratu
disarrangement,korratus
disarray,korratus
disarrayed,segiaetud
disarticulate,liigestest lahti tõmbama
disassemble,koost lahti võtma
disassembly,osadeks lammutamine
disassociation,eraldatus
disaster,katastroof
disastrous,katastroofiline
disastrously,katastroofiliselt
disavow,lahti ütlema
disavowable,lahti öeldav
disavowal,lahtiütlemine
disbalance,ebavõrdsus
disband,laiali minema
disbanded,laiali saadetud
disbandment,laialisaatmine
disbar,kohtus töötamist keelama
disbarment,advokaadilitsentsi äravõtmine
disbelief,uskumatus
disbelieve,mitte uskuma
disbeliever,uskmatu
disbelieving,kahtlev
disbosom,südant puistama
disbud,pungi harvendama
disburden,koormat seljast võtma
disbursal,välja maksmine
disburse,välja maksma
disbursement,kulud
disc,ketas
discalceate,paljasjalgne
discant,tiiskant
discard,ära viskama
discarded,äravisatud
discarding,äraviskamine
discase,lahti riietuma
discern,tajuma
discernable,tajutav
discernible,tajutav
discerning,läbinägelik
discernment,läbinägelikkus
discharge,tühjakslaadimine
discharged,süü alt vabastatud
dischargee,demobiliseeritu
discinct,lohmakalt rõivastatud
disciple,jünger
discipleship,jüngriksolemine
disciplinarian,korravalvur
discipline,distsipliin
disciplined,distsiplineeritud
disclaimer,eitamine
disclose,avalikustama
disclosed,avalikuks tulnud
disclosing,paljastav
disclosure,paljastus
disco,disko
discobolus,kettaheitja
discoid,ketasjas
discoidal,kettakujuline
discolor,luituma
discoloration,pleegitamine
discolored,plekiline
discolorization,pleegitamine
discoloured,luitunud
discolourization,pleegitamine
discombobulate,segadusse ajama
discombobulated,segadusse aetud
discomfit,ebamugavustunnet tekitama
discomfited,ebamugavasse olukorda pandud
discomfiting,kimbatusseajav
discomfiture,kimbatus
discomfort,ebamugavus
discommode,tülitama
discompose,endast välja viima
discomposed,hajevil
discomposure,liimist lahti olek
discomycete,liudseen
disconcert,häirima
disconcerted,häiritud
disconcerting,häiriv
disconcertion,häiritus
disconfirm,ümber lükkama
disconfirmed,ümber lükatud
disconnect,lahti ühendama
disconnected,lahti ühendatud
disconnecting,lahti ühendav
disconnection,ühendamatus
disconsolate,lohutamatu
disconsolately,troostitult
discontent,rahulolematus
discontented,rahulolematu
discontentedly,rahulolematult
discontentedness,rahulolematus
discontentment,rahulolematus
discontiguous,katkendlik
discontinuance,katkemine
discontinuation,katkemine
discontinue,katkestama
discontinued,ilmumise peatanud
discontinuity,katkendlikkus
discontinuous,katkeline
discord,ebakõla
discordance,ebakõla
discordant,ebakõlaline
discordantly,kokkusobimatult
discorporate,kehatu
discount,allahindlus
discountenance,ebasoosing
discourage,heidutama
discouraged,julguse kaotanud
discouragement,julgusekaotus
discouraging,heidutav
discouragingly,ehmatavalt
discourse,suhtlus
discourteous,ebaviisakas
discourteously,ebaviisakalt
discourtesy,ebaviisakus
discover,avastama
discovered,avastatud
discoverer,avastaja
discovery,avastus
discredit,diskrediteerima
discreditable,diskrediteeriv
discreditably,häbiväärselt
discredited,häbistatud
discreet,diskreetne
discreetly,diskreetselt
discreetness,diskreetsus
discrepancy,lahknevus
discrepant,lahknev
discrete,diskreetne
discretely,diskreetselt
discretion,diskreetsus
discretional,vaba valikuga
discretionary,vaba valikuga
discriminate,diskrimineerima
discriminating,peene otsustusvõimega
discrimination,diskriminatsioon
discriminative,eristav
discriminator,diskrimineerija
discriminatory,diskrimineeriv
discursive,laialivalguv
discursively,laialivalguvalt
discuss,arutama
discussant,arutelu osaline
discussion,arutelu
disdain,põlgus
disdainful,põlastav
disdainfully,põlglikult
disease,haigus
diseased,haige
disease-producing,haigust põhjustav
disease-resisting,haigustele vastupidav
disembarkation,maaleminek
disembarkment,maaleminek
disembarrass,kergendust tooma
disembarrassment,piinlikust olukorrast pääsemine
disembodied,kehatu
disembody,kehast väljuma
disembogue,suubuma
disembosom,südant puistama
disembowel,sisikonda välja võtma
disembowelment,kõhu lõhki lõikamine
disembroil,lahti mässima
disempower,jõuetuks muutma
disenable,võimalust võtma
disenchant,lummusest vabastama
disenchanted,lummusest vabanenud
disenchanting,väärkujutlust hajutav
disenchantment,pettekujutluse lõhkumine
disencumber,lahti päästma
disenfranchise,hääleõigust võtma
disenfranchised,hääleõigusest ilma jäetud
disengage,lahti päästma
disengaged,vaba
disengagement,vabastus
disentangle,lahti harutama
disentangled,lahti harutatud
disentanglement,vallapäästmine
disequilibrium,ebavõrdsus
disestablishment,riigist lahutamine
disestablishmentarianism,riigi ja kiriku lahususe nõudja
disesteem,lugupidamise kaotus
disfavor,ebasoosing
disfavour,ebasoosing
disfigure,väliskuju rikkuma
disfigured,moonutatud
disfigurement,rikkumine
disforest,metsast lagedaks tegema
disforestation,raie
disfranchise,hääleõigust võtma
disfranchised,hääleõigusest ilma jäetud
disgorge,oksendama
disgorgement,oksendamine
disgrace,häbistama
disgraced,põlu all
disgraceful,häbiväärne
disgracefully,häbiväärselt
disgregate,tükeldama
disgruntle,halba tuju tekitama
disgruntled,pahur
disgruntlement,tusatuju
disguise,maskeering
disguised,maskeeritud
disgust,vastikus
disgusted,tülgastust tundev
disgustedly,vastikustundega
disgustful,vastik
disgusting,tülgastav
disgustingly,tülgastavalt
dish,toit
dishabille,poolalastus
disharmonious,disharmooniline
disharmonising,kokkusobimatu
disharmonizing,kokkusobimatu
disharmony,disharmoonia
dishcloth,nõudepesulapp
dishearten,söakust võtma
disheartened,araks tehtud
disheartening,heidutav
dished,kausjas
disheveled,korratu
dishful,kausitäis
dishonest,ebaaus
dishonestly,ebaausalt
dishonesty,ebaausus
dishonor,autus
dishonorable,vääritu
dishonorableness,autus
dishonorably,vääritult
dishonored,häbistatud
dishonour,autus
dishonourable,vääritu
dishonourableness,autus
dishonourably,vääritult
dishonoured,häbistatud
dishpan,nõudepesukauss
dishrag,nõudepesukalts
dish-shaped,kausikujuline
dishtowel,nõuderätik
dishware,lauanõud
dishwasher,nõudepesumasin
dishwashing,nõudepesu
dishwater,nõudepesuvesi
disillusion,illusioone purustama
disillusionary,illusioone purustav
disillusioned,pettekujutlusest vabanenud
disillusioning,illusioone purustav
disillusionment,illusioonide purunemine
disincarnate,olemust kaotama
disincentive,negatiivne stiimul
disinclination,soovimatus
disincline,vastu häälestama
disinclined,soovimatu
disincrustant,katlakiviärasti
disinfect,desinfitseerima
disinfectant,desinfektsioonivahend
disinfection,desinfektsioon
disinfective,desinfitseeriv
disinfest,kahjureid hävitama
disinfestation,kahjuritõrje
disinformation,desinformatsioon
disingenuous,ebasiiras
disingenuously,silmakirjalikult
disinherit,pärandusest ilma jätma
disinheritance,pärandusest ilmajätmine
disinherited,õiguspärase päranduseta jäetud
disinsection,putukatõrje
disinsectization,putukatõrje
disintegrable,sulatatav
disintegrate,lagunema
disintegration,lagunemine
disintegrative,lagundav
disinterest,ükskõiksus
disinterested,omakasupüüdmatu
disinterestedly,omakasupüüdmatult
disinterestedness,erapooletus
disintermediation,raha paigutamine pangast aktsiatesse
disinterment,ekshumatsioon
disinvest,kapitali välja tõmbama
disinvolve,tegelemist lõpetama
disjoin,lahti ühendama
disjoined,lahti ühendatud
disjoint,eralduma
disjointed,lahtitõmmatud
disjointedly,katkendlikult
disjointedness,katkendlikkus
disjunct,hüplik
disjunction,katkendlikkus
disjunctive,katkestav
disjuncture,eraldatus
disk,ketas
diskette,diskett
disklike,kettakujuline
dislikable,vastumeelne
dislike,mitte sallima
dislimn,hämaraks muutma
dislocate,nihestama
dislocated,nihestatud
dislocation,nihestus
dislodge,välja tõstma
dislodgement,väljatõrjumine
dislodgment,väljatõrjumine
dislogistic,halvustav
disloyal,ebalojaalne
disloyally,ebalojaalselt
disloyalty,ebalojaalsus
dismal,sünge
dismally,rõõmutult
dismantle,lammutama
dismantled,demonteeritud
dismantlement,demonteerimine
dismantling,demonteerimine
dismast,maste maha võtma
dismay,lootusetus
dismayed,kohutatud
dismember,osadeks jaotama
dismembered,tükeldatud
dismemberment,tükeldamine
dismiss,vabastama
dismissal,vallandamine
dismissed,vallandatud
dismissive,minnalubav
dismount,sadulast maha ronima
disobedience,allumatus
disobedient,allumatu
disobediently,sõnakuulmatult
disobey,mitte kuuletuma
disoblige,vastutulematu olema
disobliging,vastutulematu
disorder,korratus
disordered,korratu
disorderliness,korratus
disorderly,korratu
disorders,korratused
disorganised,korratu
disorganization,korralagedus
disorganize,korralagedust tekitama
disorganized,korrapäratu
disorient,desorienteerima
disorientate,desorienteerima
disorientation,segadussesattumine
disoriented,segadusse viidud
disorienting,segadusse viiv
disown,ära tõukama
disowned,mahasalatud
disowning,äratõukamine
disownment,äratõukamine
disparage,halvustama
disparagement,halvustamine
disparager,halvustaja
disparaging,halvustav
disparagingly,halvustavalt
disparate,kokkusobimatu
disparateness,kardinaalne erinevus
disparity,ebavõrdsus
dispassion,kiretus
dispassionate,kiretu
dispassionately,kiretult
dispassionateness,kiretus
dispatch,saadetis
dispatched,lähetatud
dispatcher,dispetšer
dispel,hajutama
dispensable,vähemoluline
dispensary,apteek
dispensation,väljajagamine
dispense,välja jagama
dispensed,jaotatud
dispenser,mõõduklaas
dispersal,laialiajamine
disperse,hajuma
dispersed,hajutatud
dispersedly,hajutatult
dispersible,lahustuv
dispersion,hajutatus
dispersive,hajuv
dispirit,heidutama
dispirited,nukker
dispiritedly,tujutult
dispiriting,heidutav
displace,asendama
displacement,väljatõrjumine
display,kuvar
displease,pahandama
displeased,pahane
displeasing,ebameeldiv
displeasure,pahameel
displume,sulgi kitkuma
disport,meelt lahutama
disposable,kättesaadav
disposal,lahtisaamine
dispose,lahti saama
disposed,meelestatud
disposition,meelelaad
dispossess,võõrandama
dispossessed,laostunud
dispossession,võõrandamine
dispraise,laitma
dispread,levitama
disproof,ümberlükkav tõend
disproportion,disproportsioon
disproportionate,ebaproportsionaalne
disproportionately,ebaloomulikult
disprove,ümber lükkama
disproving,ümberlükkamine
disputable,vaieldav
disputant,vaidleja
disputation,dispuut
disputatious,vaidlushimuline
disputatiously,vaidlushimuliselt
disputative,vaidlusi tekitav
dispute,vaidlema
disputed,vaieldav
disqualification,diskvalifikatsioon
disqualified,diskvalifitseeritud
disqualify,diskvalifitseerima
disqualifying,diskvalifitseerimine
disquiet,ärevus
disquieted,rahutu
disquietedly,rahutult
disquietedness,rahutus
disquieting,rahutukstegev
disquietingly,rahutukstegevalt
disquietude,ärevus
disquisition,arutlus
disrate,degradeerima
disregard,eirama
disregarded,tähele panemata jäetud
disrelish,vastikustunne
disremember,unustama
disrepair,lagunemisseisund
disreputability,halb kuulsus
disreputable,halva kuulsusega
disreputableness,halb kuulsus
disrepute,halb kuulsus
disrespect,lugupidamatus
disrespectful,lugupidamatu
disrespectfully,lugupidamatult
disrespectfulness,lugupidamatus
disrobe,riideid seljast võtma
disrupt,segi paiskama
disrupted,katkendlik
disruption,segilöömine
disruptive,segadusttekitav
dissatisfaction,rahulolematus
dissatisfactory,mitterahuldav
dissatisfied,rahulolematu
dissatisfy,mitte rahuldama
dissatisfyingly,mitterahuldavalt
dissect,lahkama
dissection,lahkamine
disseize,ülekohtuselt omastama
dissemble,hämama
dissembler,silmakirjateener
dissembling,silmakirjatsemine
disseminate,levitama
disseminating,laiali imbuv
dissemination,levitamine
disseminative,laiali imbuv
disseminator,uudise levitaja
dissension,erimeelsus
dissent,eriarvamus
dissenter,teisitimõtleja
dissentient,eriarvamusel olev
dissentious,eriarvamusel olev
dissentism,dissidentlus
dissertation,väitekiri
disserve,kasu asemel kahju tooma
disservice,karuteene
dissever,tükeldama
dissevering,osadeks jaotav
dissidence,teisitimõtlemine
dissident,dissident
dissidently,dissidentlikult
dissidents,dissidendid
dissilience,seemnete väljapaiskumine kaunast
dissilient,lõhkemas
dissimilar,mitte sarnane
dissimilarity,erinevus
dissimilarly,teistmoodi
dissimilation,dissimilatsioon
dissimilitude,erisugusus
dissimulating,teesklev
dissimulation,teesklus
dissimulative,teesklev
dissipate,hajutama
dissipated,pillav
dissipation,pillamine
dissociable,lahutatav
dissociate,lahku lööma
dissociated,eraldunud
dissociation,lahkulöömine
dissociative,eraldumist põhjustav
dissolubility,lahustuvus
dissoluble,lahustuv
dissolute,kombelõtv
dissolutely,liiderlikult
dissoluteness,kombelõtvus
dissolvable,lahustatav
dissolve,laiali saatma
dissolved,laialisaadetud
dissolvent,lahusti
dissonance,dissonants
dissonant,dissonantne
dissuade,maha laitma
dissuasion,mahalaitmine
dissuasive,mahalaitev
dissyllable,kahesilbiline sõna
distaff,koonlapuu
distal,eemaleulatuv
distally,eemaleulatuvalt
distance,vahemaa
distant,kauge
distantly,kaugusest
distaste,vastumeelsus
distasteful,vastik
distastefully,vastikult
distastefulness,ebameeldivus
distemper,temperavärviga värvima
distend,paisuma
distended,punnis
distensible,veniv
distension,puhitus
distention,paisumine
distich,paar
distil,destilleerima
distill,destilleerima
distillate,destillaat
distillation,destillatsioon
distilled,destilleeritud
distiller,destillaator
distillery,viinavabrik
distillment,destilleerimine
distinct,märgatav
distinction,vahe
distinctions,erisused
distinctive,eristav
distinctively,eriliselt
distinctly,selgelt
distinctness,selgus
distingué,suursugune
distinguish,eristama
distinguishable,eristatav
distinguished,silmapaistev
distinguisher,eristaja
distinguishing,iseloomulik
distort,moonutama
distorted,väändunud
distorting,moonutav
distortion,moonutus
distortionist,kondiväänaja
distortive,moonutav
distract,kõrvale juhtima
distracted,häiritud
distractedly,hajameelselt
distractibility,tähelepanematus
distracting,häiriv
distraction,kõrvalejuhtimine
distrain,hüvitiseks võtma
distraint,pandiks võtmine
distrait,hajevil
distraught,hullunud
distress,kannatus
distressed,hättasattunud
distressful,murettekitav
distressfully,murelikult
distressing,murettekitav
distressingly,murettekitavalt
distributary,jõeharu
distribute,levitama
distributed,jaotatud
distributer,jaotaja
distribution,levik
distributive,levitav
distributively,hajutatult
distributivity,distributiivsus
distributor,levitaja
district,ringkond
distrust,umbusk
distrustful,umbusklik
distrustfully,umbusklikult
distrustfulness,umbusklikkus
disturb,häirima
disturbance,häirimine
disturbances,rahutused
disturbed,rahutu
disturbing,rahutukstegev
disturbingly,häirivalt
disunify,ühtsust kaotama
disunion,ühenduse lõhkumine
disunite,lahku lööma
disunited,killustunud
disunity,killustatus
disuse,hooletussejäetus
disused,kastuselt kadunud
disvalue,ebaväärtus
disyllabic,kahesilbiline
disyllable,kahesilbiline sõna
dizen,maitselagedalt riietuma
dizzily,peadpööritavalt
dizziness,peapööritus
dizzy,peadpööritav
dizygotic,disügootne
ditch,kraav
ditchbank,kraaviperv
ditchdigger,kraavikaevaja
ditchdigging,kraavikaevamine
ditcher,kraavisahk
ditchwater,kraavivesi
dithyramb,ditüramb
dithyrambic,ditürambiline
ditto,kordus
dittohead,kõigeganõustuja
ditty,lauluke
diuretic,diureetikum
diurnally,päevaajal
diva,diiva
divalent,kahevalentne
divaricate,harali ajama
divarication,hargnemine
dive,sukelduma
dive-bomb,pikeerides pommitama
diver,sukelduja
diverge,lahknema
divergence,lahknevus
divergency,divergents
divergent,lahkuminev
diverging,lahknev
divers,mitmesugune
diverse,mitmekülgne
diversely,erinevalt
diverseness,mitmesugusus
diversification,mitmekesistamine
diversified,mitmel alal tegutsev
diversify,mitmekesistama
diversion,kõrvalejuhtimine
diversionist,diversant
diversity,mitmekesisus
divert,kõrvale juhtima
